City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Cervo,ES,4/6/2022 2:30,43.6702,-7.4101,44.83,79,5,3.53
71,Gari,RU,4/6/2022 2:30,59.4307,62.3497,27.84,76,100,12.82
72,Cayenne,GF,4/6/2022 2:27,4.9333,-52.3333,80.1,1,75,5.99
73,Ambo,PE,4/6/2022 2:30,-10.1308,-76.2047,58.44,95,39,0.27
74,La Ciotat,FR,4/6/2022 2:30,43.1748,5.6045,46.81,50,98,6.53
75,Vila Velha,BR,4/6/2022 2:30,-20.3297,-40.2925,78.75,86,0,3.44
76,Itacare,BR,4/6/2022 2:30,-14.2775,-38.9967,75.36,88,1,3.27
77,Necochea,AR,4/6/2022 2:30,-38.5473,-58.7368,61.59,59,9,10.31
78,Abnub,EG,4/6/2022 2:30,27.2696,31.1511,77.95,9,96,2.95
79,Ormond Beach,US,4/6/2022 2:25,29.2858,-81.0559,79.03,80,0,3.44
80,Bengkulu,ID,4/6/2022 2:30,-3.8004,102.2655,79.65,73,99,1.1
81,Dakar,SN,4/6/2022 2:29,14.6937,-17.4441,65.28,84,0,18.7
82,Dikson,RU,4/6/2022 2:30,73.5069,80.5464,0.18,81,11,18.3
83,Sistranda,NO,4/6/2022 2:30,63.7256,8.834,35.56,47,23,17.18
84,Mankono,CI,4/6/2022 2:30,8.0586,-6.1897,77.32,72,20,5.5
85,Carauari,BR,4/6/2022 2:30,-4.8828,-66.8958,72.37,99,90,1.66
86,Kibre Mengist,ET,4/6/2022 2:30,5.8833,38.9833,54.86,79,11,2.73
87,Bandarbeyla,SO,4/6/2022 2:30,9.4942,50.8122,77.79,74,0,5.66
88,Hambantota,LK,4/6/2022 2:30,6.1241,81.1185,80.94,89,20,3.44
89,Ambilobe,MG,4/6/2022 2:30,-13.2,49.05,72.81,96,84,1.7
90,Yaguachi,EC,4/6/2022 2:30,-2.1167,-79.6833,80.58,93,81,5.59
91,Carora,VE,4/6/2022 2:30,10.1755,-70.0827,75.67,78,87,8.5
92,Kandalaksha,RU,4/6/2022 2:31,67.162,32.4123,26.85,93,100,11.56
93,Santiago,CL,4/6/2022 2:27,-33.4569,-70.6483,70.99,39,0,8.05
94,Zyryanskoye,RU,4/6/2022 2:31,56.8306,86.6258,41.38,93,100,10.74
95,Sawakin,SD,4/6/2022 2:31,19.1059,37.3321,76.23,58,0,6.26
96,Abu Dhabi,AE,4/6/2022 2:27,24.4667,54.3667,75.96,87,0,3.44
97,Narsingi,IN,4/6/2022 2:31,18.0333,78.4333,88.21,32,8,7.65
98,Cabedelo,BR,4/6/2022 2:31,-6.9811,-34.8339,77.67,83,65,8.59
99,Bakel,SN,4/6/2022 2:31,14.905,-12.4568,83.62,21,0,15.05
100,Lagoa,PT,4/6/2022 2:31,39.05,-27.9833,59.5,87,78,16.75
101,Chuy,UY,4/6/2022 2:31,-33.6971,-53.4616,55.56,75,0,6.67
102,Jijiga,ET,4/6/2022 2:31,9.35,42.8,61.36,34,2,1.72
103,Dondo,MZ,4/6/2022 2:31,-19.6094,34.7431,73.13,97,85,3.27
104,Yurga,RU,4/6/2022 2:31,55.7231,84.8861,40.91,94,100,8.23
105,Vuktyl,RU,4/6/2022 2:31,63.8567,57.3094,4.14,96,53,2.44
106,Itarema,BR,4/6/2022 2:31,-2.9248,-39.9167,75.52,89,81,7.27
107,Owensboro,US,4/6/2022 2:29,37.7742,-87.1133,57.02,94,100,6.91
108,Petrykivka,UA,4/6/2022 2:31,48.7298,34.6351,40.57,90,99,11.25
109,Quelimane,MZ,4/6/2022 2:31,-17.8786,36.8883,80.55,89,20,4.61
110,Klaksvik,FO,4/6/2022 2:31,62.2266,-6.589,31.12,62,100,17.65
111,Luderitz,NA,4/6/2022 2:31,-26.6481,15.1594,59.18,74,0,13
112,Kalabo,ZM,4/6/2022 2:31,-14.97,22.6814,69.73,83,97,3.62
113,Kamennogorsk,RU,4/6/2022 2:31,60.9545,29.1339,22.28,82,100,9.86
114,Cabo Rojo,PR,4/6/2022 2:31,18.0866,-67.1457,77.68,83,70,13.06
115,Salinopolis,BR,4/6/2022 2:31,-0.6136,-47.3561,76.14,90,100,3.22
116,Geraldton,AU,4/6/2022 2:31,-28.7667,114.6,79.21,47,45,17.27
117,Cartagena,CO,4/6/2022 2:27,10.3997,-75.5144,80.22,83,75,8.05
118,Laguna,US,4/6/2022 2:31,38.421,-121.4238,73.69,17,0,12.66
119,Carnarvon,AU,4/6/2022 2:31,-24.8667,113.6333,87.87,45,3,8.05
120,Muyezerskiy,RU,4/6/2022 2:31,63.9333,31.65,28.65,86,100,10.67
121,Walvis Bay,NA,4/6/2022 2:31,-22.9575,14.5053,57.09,100,2,3.44
122,Upernavik,GL,4/6/2022 2:31,72.7868,-56.1549,12.87,98,100,2.51
123,Shahreza,IR,4/6/2022 2:31,32.0339,51.8794,56.7,28,30,4.05
124,Adrar,MR,4/6/2022 2:31,20.5022,-10.0711,69.91,34,3,10.96
125,Vestmannaeyjar,IS,4/6/2022 2:31,63.4427,-20.2734,30.69,63,47,28.59
126,Buenos Aires,AR,4/6/2022 2:28,-34.6132,-58.3772,64.13,70,0,4.61
127,La Union,PE,4/6/2022 2:31,-5.4,-80.75,73.22,69,2,14.16
128,Maniitsoq,GL,4/6/2022 2:31,65.4167,-52.9,26.98,91,99,4.47
129,Maldonado,UY,4/6/2022 2:30,-34.6667,-54.9167,60.22,49,0,7.05
130,Ribeira Grande,PT,4/6/2022 2:31,38.5167,-28.7,60.58,88,76,15.41
131,Seydi,TM,4/6/2022 2:31,39.4816,62.9137,70.97,33,100,9.6
132,Talnakh,RU,4/6/2022 2:31,69.4865,88.3972,15.31,81,100,8.93
133,Ilulissat,GL,4/6/2022 2:31,69.2167,-51.1,26.62,86,100,6.91
134,South Venice,US,4/6/2022 2:31,27.0531,-82.4243,78.98,96,20,8.05
135,Ostrovnoy,RU,4/6/2022 2:32,68.0531,39.5131,22.42,89,100,16.91
136,Nizip,TR,4/6/2022 2:33,37.0097,37.7942,55.53,59,100,4.72
